"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"14(1,F2)","Unknown54","NaN","NaN","17.4","NaN","84.16","NaN","NaN","NaN","NaN","NaN","NaN","1685.31","NaN","NaN","NaN","NaN","NaN","NaN","13.73","NaN","15.74","NaN","13.66","NaN","NaN","NaN","36.34","NaN","NaN","NaN","30.67","NaN","13.68","NaN","10.58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","59.53","NaN","NaN","NaN","3893"
"17(1,A3)","Unknown3","NaN","NaN","18.14","NaN","61.84","NaN","NaN","NaN","NaN","NaN","NaN","1429.08","NaN","NaN","NaN","NaN","NaN","NaN","15.35","NaN","15.79","NaN","13.58","NaN","NaN","NaN","33.96","NaN","NaN","NaN","31.12","NaN","13.38","NaN","11.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","27.3","NaN","NaN","NaN","3818"
"18(1,B3)","Unknown15","NaN","NaN","17.72","NaN","82.38","NaN","NaN","NaN","NaN","NaN","NaN","1863.95","NaN","NaN","NaN","NaN","NaN","NaN","14.52","NaN","16.27","NaN","15.49","NaN","NaN","NaN","39.5","NaN","NaN","NaN","32.98","NaN","14.66","NaN","11.98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","40.38","NaN","NaN","NaN","3850"
"19(1,C3)","Unknown27","NaN","NaN","18.03","NaN","75.01","NaN","NaN","NaN","NaN","NaN","NaN","837.53","NaN","NaN","NaN","NaN","NaN","NaN","14.79","NaN","15.33","NaN","15.92","NaN","NaN","NaN","42.91","NaN","NaN","NaN","37.57","NaN","13.98","NaN","9.79","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34.84","NaN","NaN","NaN","4257"
"20(1,D3)","Unknown39","NaN","NaN","18.43","NaN","75.79","NaN","NaN","NaN","NaN","NaN","NaN","2444.39","NaN","NaN","NaN","NaN","NaN","NaN","16.22","NaN","17.89","NaN","15.3","NaN","NaN","NaN","33.79","NaN","NaN","NaN","38.38","NaN","14.04","NaN","12.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","35.54","NaN","NaN","NaN","3703"
"21(1,E3)","Unknown49","NaN","NaN","21.61","NaN","80.12","NaN","NaN","NaN","NaN","NaN","NaN","2281.39","NaN","NaN","NaN","NaN","NaN","NaN","17.04","NaN","21.44","NaN","18.34","NaN","NaN","NaN","34.23","NaN","NaN","NaN","29.74","NaN","16.98","NaN","12.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112.51","NaN","NaN","NaN","4043"
"22(1,F3)","Unknown55","NaN","NaN","19.61","NaN","45.86","NaN","NaN","NaN","NaN","NaN","NaN","1898.66","NaN","NaN","NaN","NaN","NaN","NaN","14.8","NaN","13.98","NaN","16.05","NaN","NaN","NaN","26.44","NaN","NaN","NaN","32.54","NaN","13.75","NaN","10.93","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","22.67","NaN","NaN","NaN","3470"
"25(1,A4)","Unknown4","NaN","NaN","17.51","NaN","41.06","NaN","NaN","NaN","NaN","NaN","NaN","1486.2","NaN","NaN","NaN","NaN","NaN","NaN","12.26","NaN","14.55","NaN","14","NaN","NaN","NaN","34.37","NaN","NaN","NaN","29.61","NaN","14.83","NaN","10.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","18.34","NaN","NaN","NaN","3859"
"26(1,B4)","Unknown16","NaN","NaN","18.44","NaN","68.58","NaN","NaN","NaN","NaN","NaN","NaN","2266.24","NaN","NaN","NaN","NaN","NaN","NaN","16.48","NaN","14.06","NaN","15.72","NaN","NaN","NaN","49.09","NaN","NaN","NaN","35.25","NaN","12.92","NaN","12.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36.52","NaN","NaN","NaN","3722"
"27(1,C4)","Unknown28","NaN","NaN","18.45","NaN","103.18","NaN","NaN","NaN","NaN","NaN","NaN","3414.18","NaN","NaN","NaN","NaN","NaN","NaN","16.41","NaN","13.9","NaN","15.38","NaN","NaN","NaN","50.64","NaN","NaN","NaN","39.13","NaN","13.81","NaN","9.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37.99","NaN","NaN","NaN","3773"
"28(1,D4)","Unknown40","NaN","NaN","22.23","NaN","50.77","NaN","NaN","NaN","NaN","NaN","NaN","3127.93","NaN","NaN","NaN","NaN","NaN","NaN","16.06","NaN","22.13","NaN","18.65","NaN","NaN","NaN","41.63","NaN","NaN","NaN","33.59","NaN","13.85","NaN","12.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","19.54","NaN","NaN","NaN","3676"
"29(1,E4)","Unknown50","NaN","NaN","20.12","NaN","91.5","NaN","NaN","NaN","NaN","NaN","NaN","2429.36","NaN","NaN","NaN","NaN","NaN","NaN","15.1","NaN","19.19","NaN","17.93","NaN","NaN","NaN","38.21","NaN","NaN","NaN","29.63","NaN","16.1","NaN","13.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","146.96","NaN","NaN","NaN","3888"
"30(1,F4)","Unknown56","NaN","NaN","17.11","NaN","56.01","NaN","NaN","NaN","NaN","NaN","NaN","1592.93","NaN","NaN","NaN","NaN","NaN","NaN","15.59","NaN","14.47","NaN","13.9","NaN","NaN","NaN","29.85","NaN","NaN","NaN","32.8","NaN","16.51","NaN","11.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","23.12","NaN","NaN","NaN","3931"
"31(1,G4)","Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75"
"32(1,H4)","Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"33(1,A5)","Unknown5","NaN","NaN","15.23","NaN","73.95","NaN","NaN","NaN","NaN","NaN","NaN","1554.38","NaN","NaN","NaN","NaN","NaN","NaN","13.24","NaN","15.03","NaN","13.32","NaN","NaN","NaN","39.71","NaN","NaN","NaN","29.79","NaN","13.34","NaN","10.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37.31","NaN","NaN","NaN","3362"
"34(1,B5)","Unknown17","NaN","NaN","18.78","NaN","82.89","NaN","NaN","NaN","NaN","NaN","NaN","2649.86","NaN","NaN","NaN","NaN","NaN","NaN","15.35","NaN","18.75","NaN","14.92","NaN","NaN","NaN","51.05","NaN","NaN","NaN","35.03","NaN","14.1","NaN","11.54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","42.12","NaN","NaN","NaN","4111"
"35(1,C5)","Unknown29","NaN","NaN","16.03","NaN","71.1","NaN","NaN","NaN","NaN","NaN","NaN","1751.24","NaN","NaN","NaN","NaN","NaN","NaN","14.63","NaN","17.4","NaN","14.42","NaN","NaN","NaN","33.96","NaN","NaN","NaN","32.17","NaN","13.36","NaN","12.83","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","31.64","NaN","NaN","NaN","3939"
"36(1,D5)","Unknown41","NaN","NaN","18.15","NaN","96.79","NaN","NaN","NaN","NaN","NaN","NaN","1401.25","NaN","NaN","NaN","NaN","NaN","NaN","14.02","NaN","16.75","NaN","13.72","NaN","NaN","NaN","61.64","NaN","NaN","NaN","37.16","NaN","14.53","NaN","10.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.29","NaN","NaN","NaN","3853"
"37(1,E5)","Unknown51","NaN","NaN","18.19","NaN","94.14","NaN","NaN","NaN","NaN","NaN","NaN","2792.09","NaN","NaN","NaN","NaN","NaN","NaN","13.93","NaN","19.16","NaN","16.48","NaN","NaN","NaN","37.23","NaN","NaN","NaN","35.41","NaN","15.17","NaN","11.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","89.41","NaN","NaN","NaN","4055"
"38(1,F5)","Unknown57","NaN","NaN","17.57","NaN","44.88","NaN","NaN","NaN","NaN","NaN","NaN","1650.4","NaN","NaN","NaN","NaN","NaN","NaN","13.42","NaN","18.01","NaN","14.02","NaN","NaN","NaN","28.74","NaN","NaN","NaN","31.63","NaN","13.42","NaN","9.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","20.25","NaN","NaN","NaN","3659"
"41(1,A6)","Unknown6","NaN","NaN","16.96","NaN","55.55","NaN","NaN","NaN","NaN","NaN","NaN","1936","NaN","NaN","NaN","NaN","NaN","NaN","15.95","NaN","16.12","NaN","14.73","NaN","NaN","NaN","39.29","NaN","NaN","NaN","32.49","NaN","13.15","NaN","10.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","25.03","NaN","NaN","NaN","3836"
"42(1,B6)","Unknown18","NaN","NaN","19.69","NaN","59.06","NaN","NaN","NaN","NaN","NaN","NaN","2389.7","NaN","NaN","NaN","NaN","NaN","NaN","17.58","NaN","20.45","NaN","15.01","NaN","NaN","NaN","50.2","NaN","NaN","NaN","37.54","NaN","13.38","NaN","11.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24.47","NaN","NaN","NaN","3810"
"43(1,C6)","Unknown30","NaN","NaN","17.31","NaN","35.19","NaN","NaN","NaN","NaN","NaN","NaN","1859.11","NaN","NaN","NaN","NaN","NaN","NaN","14.74","NaN","16.06","NaN","15.57","NaN","NaN","NaN","27.37","NaN","NaN","NaN","30.39","NaN","13.04","NaN","10.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","14.77","NaN","NaN","NaN","3445"
"44(1,D6)","Unknown42","NaN","NaN","21.27","NaN","83.46","NaN","NaN","NaN","NaN","NaN","NaN","2615.38","NaN","NaN","NaN","NaN","NaN","NaN","16.89","NaN","23.8","NaN","17.01","NaN","NaN","NaN","37.79","NaN","NaN","NaN","34.49","NaN","15.05","NaN","11.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.44","NaN","NaN","NaN","3815"
"45(1,E6)","Unknown52","NaN","NaN","19.18","NaN","73.33","NaN","NaN","NaN","NaN","NaN","NaN","2428.28","NaN","NaN","NaN","NaN","NaN","NaN","15.31","NaN","16.6","NaN","18.63","NaN","NaN","NaN","49.7","NaN","NaN","NaN","33.03","NaN","13.68","NaN","9.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","54.99","NaN","NaN","NaN","3779"
"46(1,F6)","Unknown58","NaN","NaN","19.98","NaN","24.41","NaN","NaN","NaN","NaN","NaN","NaN","2637.7","NaN","NaN","NaN","NaN","NaN","NaN","15.65","NaN","15.25","NaN","14.46","NaN","NaN","NaN","23","NaN","NaN","NaN","28.21","NaN","15.1","NaN","10.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","18.63","NaN","NaN","NaN","3923"
"49(1,A7)","Unknown7","NaN","NaN","16.1","NaN","80.14","NaN","NaN","NaN","NaN","NaN","NaN","2019.17","NaN","NaN","NaN","NaN","NaN","NaN","15.8","NaN","14.86","NaN","14.44","NaN","NaN","NaN","40.73","NaN","NaN","NaN","30.29","NaN","13.4","NaN","10.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32.39","NaN","NaN","NaN","3550"
"50(1,B7)","Unknown19","NaN","NaN","20.05","NaN","67.12","NaN","NaN","NaN","NaN","NaN","NaN","836.19","NaN","NaN","NaN","NaN","NaN","NaN","16.59","NaN","18.42","NaN","14.95","NaN","NaN","NaN","39.93","NaN","NaN","NaN","31.88","NaN","13.1","NaN","10.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","31.15","NaN","NaN","NaN","3683"
"51(1,C7)","Unknown31","NaN","NaN","17.27","NaN","87.09","NaN","NaN","NaN","NaN","NaN","NaN","593.16","NaN","NaN","NaN","NaN","NaN","NaN","15.52","NaN","15.85","NaN","16.29","NaN","NaN","NaN","61.07","NaN","NaN","NaN","38.16","NaN","11.7","NaN","9.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","30.49","NaN","NaN","NaN","4352"
"52(1,D7)","Unknown43","NaN","NaN","19.9","NaN","89.31","NaN","NaN","NaN","NaN","NaN","NaN","1304.93","NaN","NaN","NaN","NaN","NaN","NaN","15.88","NaN","19.74","NaN","16.71","NaN","NaN","NaN","50.21","NaN","NaN","NaN","40.52","NaN","14.98","NaN","12.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51.76","NaN","NaN","NaN","3816"
"54(1,F7)","Unknown59","NaN","NaN","17.19","NaN","36.98","NaN","NaN","NaN","NaN","NaN","NaN","1997.62","NaN","NaN","NaN","NaN","NaN","NaN","13.99","NaN","19.25","NaN","16.46","NaN","NaN","NaN","29.22","NaN","NaN","NaN","36.07","NaN","14.73","NaN","9.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","15.01","NaN","NaN","NaN","3504"
"55(1,G7)","Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.95","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74"
"56(1,H7)","Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70"
"57(1,A8)","Unknown8","NaN","NaN","16.8","NaN","43.87","NaN","NaN","NaN","NaN","NaN","NaN","1464.6","NaN","NaN","NaN","NaN","NaN","NaN","14.98","NaN","15.92","NaN","14.9","NaN","NaN","NaN","35.22","NaN","NaN","NaN","30.37","NaN","13.32","NaN","10.74","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","23.15","NaN","NaN","NaN","3597"
"58(1,B8)","Unknown20","NaN","NaN","18.09","NaN","74.95","NaN","NaN","NaN","NaN","NaN","NaN","1117.18","NaN","NaN","NaN","NaN","NaN","NaN","14.51","NaN","15.61","NaN","15.69","NaN","NaN","NaN","43.51","NaN","NaN","NaN","35.03","NaN","13.61","NaN","10.81","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32.69","NaN","NaN","NaN","3651"
"59(1,C8)","Unknown32","NaN","NaN","18","NaN","77.52","NaN","NaN","NaN","NaN","NaN","NaN","2315.01","NaN","NaN","NaN","NaN","NaN","NaN","15.69","NaN","14.88","NaN","13.93","NaN","NaN","NaN","39.53","NaN","NaN","NaN","29.63","NaN","15.25","NaN","10.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","30.7","NaN","NaN","NaN","3692"
"60(1,D8)","Unknown44","NaN","NaN","19.42","NaN","38.42","NaN","NaN","NaN","NaN","NaN","NaN","1832.51","NaN","NaN","NaN","NaN","NaN","NaN","16.29","NaN","17","NaN","14.65","NaN","NaN","NaN","30.69","NaN","NaN","NaN","40.77","NaN","14.04","NaN","11.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","17","NaN","NaN","NaN","3984"
"62(1,F8)","Unknown60","NaN","NaN","19.11","NaN","24.57","NaN","NaN","NaN","NaN","NaN","NaN","2572.99","NaN","NaN","NaN","NaN","NaN","NaN","16","NaN","16.16","NaN","16.31","NaN","NaN","NaN","28.51","NaN","NaN","NaN","33.57","NaN","14.51","NaN","12.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","13.7","NaN","NaN","NaN","3902"
"65(1,A9)","Unknown9","NaN","NaN","18.13","NaN","92.86","NaN","NaN","NaN","NaN","NaN","NaN","1530.37","NaN","NaN","NaN","NaN","NaN","NaN","13.3","NaN","14.97","NaN","16.5","NaN","NaN","NaN","40.77","NaN","NaN","NaN","31.88","NaN","12.52","NaN","11.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41.35","NaN","NaN","NaN","3420"
"66(1,B9)","Unknown21","NaN","NaN","17.34","NaN","57.77","NaN","NaN","NaN","NaN","NaN","NaN","878.43","NaN","NaN","NaN","NaN","NaN","NaN","15.09","NaN","16.68","NaN","16.74","NaN","NaN","NaN","45.97","NaN","NaN","NaN","36.1","NaN","13.43","NaN","9.98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","23.24","NaN","NaN","NaN","4101"
"67(1,C9)","Unknown33","NaN","NaN","18.35","NaN","76.51","NaN","NaN","NaN","NaN","NaN","NaN","2140.08","NaN","NaN","NaN","NaN","NaN","NaN","14.49","NaN","15.46","NaN","15.74","NaN","NaN","NaN","39.95","NaN","NaN","NaN","31.64","NaN","13.81","NaN","9.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","31.5","NaN","NaN","NaN","3811"
"68(1,D9)","Unknown45","NaN","NaN","19.98","NaN","99.95","NaN","NaN","NaN","NaN","NaN","NaN","3153.05","NaN","NaN","NaN","NaN","NaN","NaN","17.04","NaN","16.71","NaN","20.3","NaN","NaN","NaN","42.88","NaN","NaN","NaN","46.37","NaN","15.15","NaN","11.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","72.21","NaN","NaN","NaN","3692"
"70(1,F9)","Unknown61","NaN","NaN","18.11","NaN","61.21","NaN","NaN","NaN","NaN","NaN","NaN","1465.83","NaN","NaN","NaN","NaN","NaN","NaN","15.87","NaN","15.91","NaN","14.65","NaN","NaN","NaN","34.72","NaN","NaN","NaN","33.13","NaN","12.52","NaN","12.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32.13","NaN","NaN","NaN","3623"
"73(1,A10)","Unknown10","NaN","NaN","22.68","NaN","72.77","NaN","NaN","NaN","NaN","NaN","NaN","1791.1","NaN","NaN","NaN","NaN","NaN","NaN","17.02","NaN","17.34","NaN","18.28","NaN","NaN","NaN","39.77","NaN","NaN","NaN","33.3","NaN","14.54","NaN","14.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28.05","NaN","NaN","NaN","4211"
"74(1,B10)","Unknown22","NaN","NaN","19.28","NaN","86.89","NaN","NaN","NaN","NaN","NaN","NaN","2145.44","NaN","NaN","NaN","NaN","NaN","NaN","19.72","NaN","17.49","NaN","17.82","NaN","NaN","NaN","46.29","NaN","NaN","NaN","34.44","NaN","13.55","NaN","12.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","80.08","NaN","NaN","NaN","3757"
"75(1,C10)","Unknown34","NaN","NaN","19.65","NaN","38.24","NaN","NaN","NaN","NaN","NaN","NaN","2085.36","NaN","NaN","NaN","NaN","NaN","NaN","14.59","NaN","21.41","NaN","18.97","NaN","NaN","NaN","28.99","NaN","NaN","NaN","32.07","NaN","14.39","NaN","13.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","16.35","NaN","NaN","NaN","4040"
"76(1,D10)","Unknown46","NaN","NaN","19.02","NaN","35.96","NaN","NaN","NaN","NaN","NaN","NaN","2695.64","NaN","NaN","NaN","NaN","NaN","NaN","15.42","NaN","17.01","NaN","18.79","NaN","NaN","NaN","29.36","NaN","NaN","NaN","32.41","NaN","16.62","NaN","10.9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","17.86","NaN","NaN","NaN","3793"
"78(1,F10)","Unknown62","NaN","NaN","22.16","NaN","54.73","NaN","NaN","NaN","NaN","NaN","NaN","2988.33","NaN","NaN","NaN","NaN","NaN","NaN","20.65","NaN","18.47","NaN","19.96","NaN","NaN","NaN","44.47","NaN","NaN","NaN","37.34","NaN","13.95","NaN","12.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","26.9","NaN","NaN","NaN","3591"
"79(1,G10)","Unknown67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77"
"80(1,H10)","Unknown71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.62","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","72"
"81(1,A11)","Unknown11","NaN","NaN","18.13","NaN","72.68","NaN","NaN","NaN","NaN","NaN","NaN","1498.2","NaN","NaN","NaN","NaN","NaN","NaN","15.63","NaN","14.42","NaN","14.63","NaN","NaN","NaN","39.66","NaN","NaN","NaN","33.26","NaN","12.98","NaN","11.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","26.33","NaN","NaN","NaN","4056"
"82(1,B11)","Unknown23","NaN","NaN","19.19","NaN","85.83","NaN","NaN","NaN","NaN","NaN","NaN","2029.29","NaN","NaN","NaN","NaN","NaN","NaN","14.19","NaN","14.46","NaN","15.01","NaN","NaN","NaN","47.33","NaN","NaN","NaN","37.79","NaN","13.83","NaN","11.65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","60.77","NaN","NaN","NaN","4137"
"83(1,C11)","Unknown35","NaN","NaN","16.14","NaN","91.7","NaN","NaN","NaN","NaN","NaN","NaN","930.45","NaN","NaN","NaN","NaN","NaN","NaN","15.3","NaN","13.74","NaN","15.2","NaN","NaN","NaN","52.81","NaN","NaN","NaN","36.66","NaN","13.1","NaN","10.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37.18","NaN","NaN","NaN","3933"
"89(1,A12)","Unknown12","NaN","NaN","22.94","NaN","50.89","NaN","NaN","NaN","NaN","NaN","NaN","1358.7","NaN","NaN","NaN","NaN","NaN","NaN","17.86","NaN","23.36","NaN","22.95","NaN","NaN","NaN","38.47","NaN","NaN","NaN","33.06","NaN","14.83","NaN","14.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","25.69","NaN","NaN","NaN","3981"
"90(1,B12)","Unknown24","NaN","NaN","18.15","NaN","62.01","NaN","NaN","NaN","NaN","NaN","NaN","1607.7","NaN","NaN","NaN","NaN","NaN","NaN","16.43","NaN","13.98","NaN","14.33","NaN","NaN","NaN","38.74","NaN","NaN","NaN","31.68","NaN","14.46","NaN","11.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","30.3","NaN","NaN","NaN","4077"
"91(1,C12)","Unknown36","NaN","NaN","17.79","NaN","89.11","NaN","NaN","NaN","NaN","NaN","NaN","2548.96","NaN","NaN","NaN","NaN","NaN","NaN","14.62","NaN","14.25","NaN","13.5","NaN","NaN","NaN","45.34","NaN","NaN","NaN","33.06","NaN","14.56","NaN","11.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","59.36","NaN","NaN","NaN","3819"
"94(1,F12)","Unknown63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5.32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95"

"DataType:","Units"
"Analyte:","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78"
"BeadID:","12","13","14","15","18","19","20","21","22","25","26","27","28","29","30","33","34","35","36","37","38","39","42","43","44","45","46","47","48","51","52","53","54","55","56","57","61","62","63","64","65","66","67","72","73","74","75","76","77","78"
"Units:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"DataType:","Per Bead Count"
"Analyte:","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78"
